k	L	method	density	density_std	runtime	runtime_std		
100	210	random	0.0176851	9.98429E-05	0.3335	0.00484252	0	0
100	210	decycling	0.0151744	0.000241163	11.6945	0.114498	0	0
100	210	double	0.0138172	8.23405E-06	15.2595	0.0050448	0	0
100	220	random	0.0167202	0.000633163	0.3393	0.00402616	0	0
100	220	decycling	0.0135912	9.63842E-05	11.6526	0.0950023	0	0
100	220	double	0.0126791	4.8423E-06	15.9567	1.0462	0	0
100	230	random	0.0153256	0.000425746	0.3328	0.00416653	0	0
100	230	decycling	0.0124061	5.25451E-05	11.6453	0.0982121	0	0
100	230	double	0.0117802	4.55412E-06	15.2731	0.0442051	0	0
100	240	random	0.0146007	0.000948757	0.3345	0.00510392	0	0
100	240	decycling	0.0114558	2.02571E-05	11.6057	0.00504083	0	0
100	240	double	0.011035	6.00379E-06	15.2624	0.00385227	0	0
100	250	random	0.0134221	0.000753975	0.3324	0.00544426	0	0
100	250	decycling	0.0106909	1.18251E-05	11.592	0.0203617	0	0
100	250	double	0.0104123	1.22519E-05	15.2642	0.00401995	0	0
100	260	random	0.0123968	0.000375546	0.3314	0.00548088	0	0
100	260	decycling	0.0100402	1.37469E-05	11.5931	0.00678896	0	0
100	260	double	0.00986842	0.000015977	15.2875	0.0886738	0	0
100	270	random	0.0116928	0.000222342	0.3294	0.00233238	0	0
100	270	decycling	0.00949899	1.70077E-05	11.6078	0.017526	0	0
100	270	double	0.00939182	1.33577E-05	15.3041	0.0817428	0	0
100	280	random	0.011038	0.000117383	0.3285	0.004272	0	0
100	280	decycling	0.00901753	1.17536E-05	11.644	0.0858033	0	0
100	280	double	0.00894888	1.43417E-05	15.4925	0.46201	0	0
100	290	random	0.0107247	0.000577746	0.3308	0.00419047	0	0
100	290	decycling	0.00860768	1.14787E-05	11.5838	0.00354401	0	0
100	290	double	0.00856426	1.41973E-05	15.2644	0.0563404	0	0
100	300	random	0.0100125	8.73812E-05	0.329	0.00556776	0	0
100	300	decycling	0.00824076	8.84011E-06	11.6123	0.0301133	0	0
